start	end	text
937160	939160	在这里我们要给大家讲一讲
939160	941160	你在检测目标的时候
941160	944160	标一开始需要调到你的相机的
944160	947160	相机高度角度调整的好之后
947160	949160	光源也调整好了
949160	952160	每次拍拍的目标都很清楚
952160	954160	轮廓也很清晰
954160	955160	能够直接测了
955160	958160	那么相机是不是不能测了
958160	959160	因为你动了的话
959160	961160	目标可能近大远小
961160	963160	可能会稍微发了错
963160	964160	是不是测不着了
964160	966160	所以说相机固定好之后
966160	968160	你在测目标之前
968160	971160	就把这个标定也做了
971160	972160	相机不动
972160	975160	那么你就在你的图中放上几个标定版
975160	977160	这个标定版我还能买到
977160	978160	有这种格子的
978160	980160	也有点准的时候标定
981160	982160	可以
982160	984160	那么它都会为你的规格
984160	986160	比如说每格多少多少好运
986160	988160	有每格2毫米的
988160	990160	有每格1毫米的
990160	991160	有每格3毫米的
991160	993160	那么你买特定的标定版
993160	994160	买完之后
994160	996160	把这个版本放到你的视野当中
996160	998160	先拍一下做标定
998160	999160	做完标定
999160	1001160	你的单位放散是不是就放散好了
1001160	1003160	放散好了之后你再去测
1003160	1004160	就可以了
1004160	1006160	这就是标定版
1006160	1008160	标定版标定的整体有什么的
1008160	1009160	对于微信朋友来说
1009160	1011160	我们该怎么去做标定
1011160	1013160	在这里它有对应的工具
1013160	1015160	哪个工具
1015160	1016160	在这里
1016160	1019160	因为我们是要对目标去做标定
1019160	1021160	是不是的
1021160	1023160	那么标定的工具
1023160	1026160	通常是在影妹子当中
1026160	1029160	或者说在其他文件当中
1029160	1031160	那么打开影妹子
1031160	1033160	我们看看有没有这个工具
1034160	1035160	有没有
1036160	1037160	看一圈
1037160	1038160	好像没有
1038160	1039160	因为影妹子
1039160	1041160	是不是对图像去做操作的
1041160	1043160	那么我们标定版标定
1043160	1045160	是不是也是对图像做操作的
1045160	1047160	但是没有
1047160	1049160	那说明不在影妹子这里
1049160	1050160	你看一圈
1050160	1052160	是不是就没有咱们这个工具的效果
1052160	1054160	那么除了
1054160	1056160	除了影妹子文件家之外
1056160	1057160	哪里还有
1057160	1058160	咱们在这里
1058160	1061160	既然是对图像去做一定的处理
1061160	1063160	那么处理的是什么
1063160	1065160	是不是单位换算
1065160	1067160	那么通常是不是在
1067160	1069160	单位换算文件当中
1069160	1070160	那么这个文件
1070160	1071160	有一个类似的
1071160	1072160	叫做这里的
1078160	1080160	是不是和我们的开立盆很像
1080160	1082160	开立盆是卡车
1083160	1085160	是不是类似于测量的东西
1085160	1087160	那么在第二个文件家展开
1087160	1088160	我们找一找
1088160	1090160	有没有这个工具
1090160	1091160	有的
1091160	1093160	在第一个工具就是
1093160	1094160	叫做
1100160	1103160	这个就是咱们要用的标定版工具了
1106160	1108160	这个工具叫做
1116160	1118160	那么你把这个工具拖着进来
1118160	1120160	你看一看它的这个图像
1120160	1122160	长什么样
1122160	1124160	是不是就是给你一个标定版
1124160	1126160	然后横坐标
1126160	1128160	数字标是两侧距离的
1128160	1130160	是不是
1130160	1133160	这个就是我们标定版工具的一个
1133160	1135160	内容了
1135160	1137160	那么大家把这个工具拖拽到
1137160	1139160	作业编辑期当中
1139160	1142160	然后我们挑其中一张图去做标定
1142160	1144160	以这个图为例子
1144160	1146160	以这个期盘格为例子
1146160	1148160	那么这个期盘格的图片很明显
1148160	1150160	这个彩色图是不是
1150160	1152160	那咱们要测目标距离的话
1152160	1154160	我们看看彩色图行不行
1156160	1158160	连接图像点击运行
1161160	1163160	先给大家看看效果
1163160	1164160	怎么了
1164160	1166160	是不是不受此操作支持
1166160	1168160	说明咱们的这个图像
1168160	1170160	不能为彩色的
1170160	1172160	只能为黑白灰
1172160	1175160	所以说在使用标定版工具之前
1175160	1177160	你先把图像
1177160	1179160	转为灰色
1188160	1190160	转为灰色
1190160	1193160	那么转为灰色之后进入该工具
1193160	1195160	老师教大家如何去做
1195160	1197160	这里的标定
1197160	1200160	那么在这里标定版有很多种
1200160	1202160	那么在这里大家进入该工具
1202160	1204160	整体布局呈现
1204160	1206160	左右两半部分
1206160	1208160	那么左半边
1208160	1211160	是不是有一个矫正模式和一个矫正板
1211160	1213160	那么我们先看这个矫正板
1213160	1215160	矫正板里面有一个叫做
1215160	1217160	特性搜寻器的内容
1217160	1218160	找到没有
1218160	1219160	找到没有
1219160	1221160	那么这个特性搜寻器
1221160	1222160	打开
1222160	1224160	里面有啥
1224160	1226160	是不是有期盘格
1226160	1228160	点儿网格以及这里的
1228160	1230160	详尽期盘格
1230160	1232160	这里期盘格的东西
1232160	1234160	在这里它就让你选择
1234160	1236160	你用什么格来标定的
1236160	1238160	那么这张图是什么格
1238160	1240160	是不是就是期盘格
1240160	1242160	在这里我们用期盘格就可以了
1242160	1245160	那这里的详尽期盘格是什么
1245160	1247160	这里的详尽期盘格就是
1247160	1249160	在期盘格的基础上
1249160	1251160	上面有很多各种各样的一些
1251160	1253160	标记以及数据
1253160	1255160	是比较详尽的
1255160	1256160	那么一般情况下
1256160	1258160	我们用普通的就够了
1258160	1259160	够了吧
1259160	1261160	那么在这里
1261160	1264160	我们先设置这里的标定板
1264160	1267160	设置为期盘格
1279160	1280160	这是第一步
1280160	1281160	第二步
1281160	1283160	下边有个基准符号
1283160	1284160	看到没有
1284160	1286160	如果你的这个期盘格
1286160	1288160	上面有一定的基准符号
1288160	1289160	你就得选择了
1289160	1291160	但是咱们这个图中有基准符号没有
1291160	1292160	没有
1292160	1294160	那就选择那就可以了
1294160	1296160	那什么是基准符号
1296160	1298160	基准符号就是指
1298160	1300160	这个原本的标定板上
1300160	1302160	有一些特征特点
1302160	1304160	或者说基准点
1304160	1306160	来方便你去做标定的一个特技
1306160	1308160	记号点知道没有
1308160	1311160	那么这里的记号点有各种各样
1311160	1313160	你看我们点击这里的基准符号
1313160	1314160	可以看到
1314160	1317160	里边的符号是不是有很多种
1317160	1318160	比如说这个什么什么
1318160	1319160	Rectangles
1319160	1322160	是不是一个类似于举行的一个
1322160	1323160	基准符号
1323160	1325160	那下面还有其他的类型
1325160	1327160	这几个类型
1327160	1328160	分别是啥
1328160	1330160	第二个是Rectangles
1330160	1332160	就是类似于一个举行的标记
1332160	1334160	那第三个呢
1334160	1337160	是这个什么什么什么
1337160	1339160	道堂
1339160	1341160	Guru的Axis
1341160	1343160	那这是个啥东西
1343160	1344160	这个就是啊
1344160	1347160	以用这个棋盘格
1347160	1350160	自身的网格轴
1350160	1352160	作为基准
1352160	1354160	那么它类似于咱们的NUM
1354160	1357160	但是一般用于特殊标记的棋盘格
1357160	1358160	知道没有
1358160	1359160	这是第三个
1359160	1361160	那第四个呢
1361160	1363160	DataMatics
1363160	1365160	这个就是在图中
1365160	1367160	标定板上可能会有二维码
1367160	1369160	那么刚刚咱们切换图的时候
1369160	1370160	是不是有一张图
1370160	1372160	上面有一定的二维码
1372160	1374160	是它的一个基准符号
1374160	1376160	那么最后一个
1376160	1378160	就是在二维码的基础上
1378160	1381160	还有一些网间的一些兼具信息
1381160	1382160	也会标到图上
1382160	1384160	所以说在这里啊
1384160	1386160	咱们需要把这五个基准符号
1386160	1387160	给了解即可
1387160	1389160	等会儿会记录到
1389160	1391160	这里的Visual Studio当中
1391160	1394160	在这里大家知道怎么用了吧
1394160	1396160	对于咱们这个图来说
1396160	1398160	我们先设置棋盘格
1398160	1400160	然后设置基准符号
1400160	1402160	设置右边的XY
1402160	1403160	那么在这里
1403160	1405160	块尺寸指的是什么
1405160	1406160	指的就是
1406160	1408160	你的这个棋盘格
1408160	1410160	你的这个棋盘格上边
1410160	1412160	每一个格子的实际程度
1412160	1413160	有多少毫米
1413160	1415160	这里的单位是毫米啊
1415160	1417160	它默认写的是几
1417160	1420160	也就是说图中的每一格
1420160	1422160	是实际当中的一毫米
1422160	1423160	在这里啊
1423160	1425160	我们自由设置就可以了
1425160	1427160	有的标定板是两毫米
1427160	1428160	能听懂不
1428160	1430160	有的标定板是两毫米
1430160	1432160	这个大家根据实际情况
1432160	1433160	设置就可以了
1433160	1434160	知道了吧
1434160	1436160	那么设置完之后
1436160	1437160	接下来啊
1437160	1438160	咱们就可以点击
1438160	1439160	下边的
1439160	1442160	抓取矯正图像
1442160	1443160	点
1443160	1446160	点击抓取矯正图像
1446160	1447160	那么这个图像
1447160	1448160	是不是就抓进去了啊
1448160	1449160	抓进去之后
1449160	1451160	旁边的计算矯正
1451160	1452160	是不是就出现了啊
1452160	1454160	你点一下计算矯正
1454160	1456160	点完计算矯正之后
1456160	1457160	左下角
1457160	1459160	是不是就有一个矟正的体式
1459160	1460160	就说明啊
1460160	1462160	咱们这个格子
1462160	1463160	期判格
1463160	1465160	已经标定矯正好了
1465160	1466160	然后
1466160	1468160	电机运行查看效果
1468160	1469160	效果
1469160	1471160	是不是就有了啊
1471160	1474160	电机运行查看运行的图像
1474160	1475160	看到没有
1475160	1476160	它是不是就把
1476160	1477160	每一个格子
1477160	1479160	上面的对应的矯正点
1479160	1481160	全都给你怼出来了啊
1481160	1482160	看到没有
1482160	1483160	然后还给你一个
1483160	1485160	矟正的坐标空间
1485160	1486160	那么这就是咱们
1486160	1488160	标定的一个效果
1488160	1490160	这样子标定完毕之后
1490160	1491160	回到作业编辑器
1491160	1493160	下面它是不是给你回了
1493160	1495160	一张输出图像啊
1495160	1496160	那么这个输出图像
1496160	1499160	指的就是标定好的图像了
1499160	1501160	那么这个图像上面
1501160	1503160	会隐藏一个比例尺啊
1503160	1505160	那么你在这个图像上
1505160	1506160	去测目标的时候
1506160	1508160	是不是就会自动
1508160	1511160	转发对应的这个安慰啊
1511160	1512160	这样子
1512160	1514160	咱们的标定就做完了
1514160	1516160	那么标定做完之后
1516160	1519160	我们就可以切换图像了
1519160	1520160	把我们的图像
1520160	1522160	设置成我们之前
1522160	1523160	做过的一些案例
1523160	1524160	比如说
1524160	1527160	我们之前做过一些
1527160	1529160	比如说这个iPhone充电器啊
1529160	1530160	我把iPhone充电器
1530160	1532160	侧面导入进去
1532160	1534160	然后电机运行
1534160	1535160	那么在这里啊
1535160	1536160	由于咱们是不是
1536160	1541160	把图片给切换成
1541160	1546160	切换成充电器的图片了
1546160	1548160	那么切换成新的图片之后
1548160	1549160	那我们刚刚的
1549160	1552160	标定版的图片干哪去了
1552160	1553160	在这里
1553160	1554160	我们由于是不是
1554160	1556160	已经较较正标定好的图像了
1556160	1557160	所以说
1557160	1559160	刚刚的标定版的这些信息
1559160	1562160	会自动记录到这个工具当中
1562160	1563160	知道没有
1563160	1565160	你只需要拿图片给它
1565160	1566160	较正较正
1566160	1567160	记录一下就可以了
1567160	1568160	那么你再用它
1568160	1569160	运行后的图像
1569160	1571160	去测目标就可以了
1571160	1573160	来我们测一测
1573160	1575160	我们简单的测一下
1575160	1576160	在这里
1576160	1577160	我就不做标
1577160	1579160	转换了
1579160	1582160	咱们快速的去测一下
1582160	1584160	电源队任意即信
1584160	1588160	以前电机运行查看结果
1588160	1591160	结果实际是多少
1591160	1594160	老师这里测出的是7.11
1594160	1595160	也就是说
1595160	1597160	实际长度只有7毫米
1600160	1601160	是不是
1601160	1603160	效果是不是就做出来了
1603160	1605160	是不是
1605160	1608160	这就是标定版的作用了
1608160	1609160	在这里
1609160	1611160	咱们再给大家履一履
1611160	1613160	标定版的使用方式
1613160	1615160	标定版的使用方式就是
1615160	1619160	先把你的标定版的图像
1619160	1622160	导入到这个项目当中
1622160	1624160	然后先选择你对应的
1624160	1626160	这个期盼格的样式
1626160	1627160	是期盼格呀
1627160	1629160	还是点网格呀
1629160	1630160	设置好之后
1630160	1632160	设置这里的基准符号
1632160	1634160	然后设置你这里的块尺寸
1634160	1635160	设置完之后
1635160	1637160	点击抓取矯正图像
1637160	1639160	点击计算矯正
1639160	1640160	点击运行
1640160	1642160	就可以了
1642160	1645160	这就是咱们标定的整个步骤了
1645160	1646160	标定完毕之后
1646160	1648160	你再去它标定好的图像上
1648160	1650160	去测目标
1650160	1651160	是不是有搞定了
1651160	1655160	这就是计算真实值的步骤了
1655160	1657160	这是标定工具的
1657160	1658160	第一个作用啊
1658160	1660160	建立笔历尺
1660160	1662160	来回到这里的
1662160	1664160	Visual Studio当中
1664160	1669160	咱们记录一下
1669160	1670160	叫做
1670160	1672160	Cog
1672160	1675160	Talibot
1675160	1678160	Taker
1678160	1679160	Board
1679160	1680160	Tool
1680160	1684160	叫做标定版工具
1684160	1692160	作用就是利用标定版建立
1692160	1702160	图中像素和实际规格的笔历尺
1702160	1707160	建立图中像素和实际规格的笔历尺
1707160	1711160	之后测量直接测距
1711160	1714160	直接测实际规格
1714160	1717160	而不是像素了
1717160	1719160	这是标定版工具的
1719160	1721160	第一个作用啊
1721160	1722160	建立这个笔历尺
1722160	1723160	能理解不
1723160	1725160	能理解不
1725160	1727160	这个能不能理解
1727160	1729160	建立对应的笔历尺
1729160	1732160	最后一测测的就是实际的规格
1732160	1734160	然后在下边
1734160	1737160	我们把这里的标定的基准符号
1737160	1738160	给列举一下
1738160	1740160	第一个叫做
1741160	1744160	也就是无符号
1746160	1749160	第二个是这里的
1750160	1751160	standard
1754160	1755160	Rectangle
1758160	1760160	表示标定版上
1761160	1764160	有一个举行标记
1766160	1767160	第三个
1770160	1772160	叫做Data
1775160	1777160	Metix
1777160	1780160	叫做标定版上
1784160	1787160	有对应的二维码标记
1789160	1791160	第四个是Data
1794160	1795160	Metix
1795160	1798160	Ys
1798160	1800160	Gold Pitch
1802160	1804160	它就是在
1804160	1809160	二维码标记的基础上
1809160	1811160	有其它的
1816160	1817160	信息
1817160	1818160	接
1822160	1824160	那么第五个就是
1824160	1826160	这里的
1826160	1831160	DoGold Access
1835160	1838160	使用其盘格
1838160	1841160	自身的网格
1841160	1843160	作为基准
1847160	1850160	这是这五个基准符号
1860160	1862160	这就是标定版标定工具的
1862160	1864160	第一个作用
1864160	1866160	建立对应的笔历史
1868160	1869160	接下来
1869160	1872160	咱们把标定版工具第二个作用
1872160	1874160	给大家讲一讲
1875160	1877160	那第二个作用是什么
1879160	1881160	叫做消除基变
1884160	1885160	第二个作用
1885160	1887160	消除基变
1892160	1894160	那么什么是基变
1896160	1898160	什么是基变
1898160	1902160	基变
1902160	1906160	就是你拿工业相机拍目标的时候
1906160	1908160	照片里的这个楼
1908160	1910160	就是照片里的这个目标
1910160	1912160	就是原本是直线
1912160	1915160	但是是不是拍的就比较斜
1915160	1916160	这就叫做基变
1916160	1918160	那么我在这里简单画一画
1918160	1919160	大家就知道了
1919160	1922160	这个大家平常拍照也能体会出来
1922160	1924160	就是假如说
1924160	1926160	你要拍一个长方体
1926160	1928160	正常拍是不是就这样子的
1928160	1930160	你拍像应该是不是就这样子的
1930160	1933160	但是你实际拍出来找啥
1935160	1937160	可能是这样子的
1940160	1941160	这样子的
1941160	1943160	是不是可能是这样子的基变
1943160	1945160	是不是也可能是这样子的基变
1947160	1948160	这样子的基变
1948160	1949160	是不是
1949160	1951160	就是上下都是直的
1951160	1952160	左右两半是圆的
1952160	1954160	还有什么基变
1954160	1957160	可能你的这个相机角度没调好
1957160	1958160	它是这样子拍的
1958160	1960160	原本你是举行
1960160	1961160	结果你一拍
1963160	1964160	拍成提醒了
1964160	1966160	是不是也是一种基变
1966160	1967160	对吧
1967160	1968160	这个能理解吧
1968160	1970160	就是原本你的相机
1970160	1972160	是不是就是90度往下拍的
1972160	1973160	是不是
1973160	1975160	但是如果你的这个角度
1975160	1976160	斜了点
1976160	1978160	那你拍的目标是不是
1978160	1980160	这样子的情况
1980160	1981160	是不是就基变了
1981160	1983160	那么这就叫做基变
1983160	1985160	那么我们用标定板标
1985160	1987160	标定板工具标定的时候
1987160	1989160	它的第二个作用就是销售的基变
1989160	1991160	那它是怎么销售的呢
1992160	1993160	在这里
1993160	1994160	咱们要注意
1994160	1998160	我们在使用标定板标定的过程中
1998160	2000160	我们的标定板通常
2002160	2004160	是不可能只用一次的
2004160	2005160	得用多次
2007160	2009160	我再把这个标定板素材挡住进来
2009160	2010160	到时候
2010160	2012160	大家在做标定板标定目标的时候
2012160	2015160	就不可能只标定一张图片
2015160	2017160	那它是得标定多张图片的
2017160	2018160	怎么标定
2019160	2020160	在这里
2020160	2021160	我们最后两步是不是
2021160	2023160	抓取矯正图像和计算矯正
2023160	2024160	那么在这里
2024160	2026160	它这里的矯正
2026160	2028160	指的就是
2028160	2029160	销售基变
2029160	2031160	那么如果你在拍
2031160	2032160	目标的时候
2032160	2034160	如果你好不容易调好
2034160	2036160	效果也清晰了
2036160	2037160	但是确实有点坏
2037160	2038160	你再调的话
2038160	2040160	可能又不清晰了
2040160	2042160	是不是你总得取选
2042160	2044160	那么你为了保证目标更清晰
2044160	2046160	那角度是不是就可能有点歪
2046160	2047160	角度有点歪
2047160	2048160	拍得的目标
2048160	2050160	是不是就是有极变
2050160	2051160	有极变的话
2051160	2054160	那么你在这里用多个标定板
2054160	2055160	去做标定
2055160	2057160	你用第一张图标定一次
2057160	2058160	第二张图再标定一次
2058160	2060160	第三张图再标定一次
2060160	2062160	是不是就可以效果极变了
2062160	2063160	那么它是得标的
2063160	2064160	在这里
2064160	2065160	最后两步
2065160	2068160	是不是得抓取矯正图像和计算矯正
2068160	2069160	那么在这里
2069160	2072160	假如我拍了10张这样的图片
2072160	2075160	假如我用不同的标
2075160	2077160	就是相同的标定板
2077160	2078160	用不同的角度
2078160	2080160	不同的方向拍了10张
2080160	2082160	那么我们在标定这10张
2082160	2083160	规格的过程中
2083160	2086160	我们就光点抓取矯正图像就可以了
2086160	2088160	点一次加一张图
2088160	2092160	直到把这10张标定板都加进去了
2092160	2095160	最后一次再点计算矯正
2095160	2097160	是不是就把极变给消掉了
2097160	2098160	是不是
2098160	2101160	那它具体是怎么消除极变的
2101160	2102160	它是怎么消除的
2102160	2105160	假如说第一张图是这样的提醒
2105160	2107160	拍的就是这个样子
2107160	2109160	第二张图咱换了一个角度
2109160	2112160	那它整体是不是就这样的便携了
2112160	2113160	第三个这样子
2113160	2116160	第四个不同角度的地方拍
2116160	2117160	拍完之后
2117160	2121160	这个工具它会自动分析
2121160	2123160	这个是这样的一个极变
2123160	2126160	然后我就给你稍微改整一下
2126160	2128160	你原来的极变给消掉了
2128160	2132160	那么这就是它在计算矯正时的
2132160	2134160	所用的效果了
2134160	2137160	当你抓取了10张图像都放到这了
2137160	2139160	最后一次点计算矯正
2139160	2142160	它就会分析你的这10张图像有什么
2142160	2143160	极变
2143160	2145160	然后它根据这些极变
2145160	2146160	进行复原
2146160	2149160	然后把你真正正正的
2149160	2152160	这个比例时的结构给你算出来
2152160	2153160	听到没有
2153160	2155160	听到没有
2155160	2158160	这个这是它的第2个作用
2158160	2160160	第2个作用
